row_id,fold,true_label,technique,pred_xgb,pred_cnn,proba_xgb,proba_cnn,disagreement_direction,llm_verdict,llm_pred,llm_confidence,llm_agrees_with,parse_status,rationale_steps,key_features,raw
115,3,0,benign,0,1,0.692317724,0.991753459,xgb_benign_cnn_malicious,MALICIOUS,1,0.99,cnn,ok,"[""Privilege state: euid_root is set and uid_is_root is set, but max_uid_euid_delta is 0, indicating no genuine UID/EUID transition."", ""Mechanism: exec_count is elevated and parent_child_rarity is near 1, indicating an unusual exec chain."", ""Behavioural anomaly: failed_call_rate is 0.8 and parent_child_rarity is near 1, indicating a high rate of failed syscalls and an exec pair essentially never seen in benign activity."", ""Benign-explanation test: very high throughput (5000 events/second) and short lifetime (0.001 seconds) argue against a routine admin script, cron job, or health-check."", ""Decide: the unusual exec chain and high failed syscall rate outweigh XGBoost's benign call; this supports the CNN.""]","[""uid_is_root"", ""euid_root"", ""exec_count"", ""parent_child_rarity"", ""failed_call_rate""]","{
  ""verdict"": ""MALICIOUS"",
  ""confidence"": 0.99,
  ""rationale_steps"": [
    ""Privilege state: euid_root is set and uid_is_root is set, but max_uid_euid_delta is 0, indicating no genuine UID/EUID transition."",
    ""Mechanism: exec_count is elevated and parent_child_rarity is near 1, indicating an unusual exec chain."",
    ""Behavioural anomaly: failed_call_rate is 0.8 and parent_child_rarity is near 1, indicating a high rate of failed syscalls and an exec pair essentially never seen in benign activity."",
    ""Benign-explanation test: very high throughput (5000 events/second) and short lifetime (0.001 seconds) argue against a routine admin script, cron job, or health-check."",
    ""Decide: the unusual exec chain and high failed syscall rate outweigh XGBoost's benign call; this supports the CNN.""
  ],
  ""key_features"": [""uid_is_root"", ""euid_root"", ""exec_count"", ""parent_child_rarity"", ""failed_call_rate""],
  ""agrees_with"": ""cnn""
}"
123,3,1,T1078_Valid_Accounts,0,1,0.692317724,0.991753459,xgb_benign_cnn_malicious,MALICIOUS,1,0.99,cnn,ok,"[""Privilege state: euid_root is set and auid_euid_mismatch is not set, but max_uid_euid_delta is 0, indicating no privilege transition."", ""Mechanism: is_suid_exec is 0 and exec_count is elevated, indicating an unusual exec chain."", ""Behavioural anomaly: parent_child_rarity is 1, indicating a rare parent->child pair, and network_count is 0, indicating no network activity."", ""Benign-explanation test: the short lifetime (p42) and high throughput (p56) argue against a routine admin script, cron job, or health-check."", ""Decide: the unusual exec chain and rare parent->child pair outweigh XGBoost's benign call; this supports the CNN.""]","[""exec_count"", ""parent_child_rarity"", ""unique_syscalls"", ""seq_length"", ""lifetime_seconds""]","{
  ""verdict"": ""MALICIOUS"",
  ""confidence"": 0.99,
  ""rationale_steps"": [
    ""Privilege state: euid_root is set and auid_euid_mismatch is not set, but max_uid_euid_delta is 0, indicating no privilege transition."",
    ""Mechanism: is_suid_exec is 0 and exec_count is elevated, indicating an unusual exec chain."",
    ""Behavioural anomaly: parent_child_rarity is 1, indicating a rare parent->child pair, and network_count is 0, indicating no network activity."",
    ""Benign-explanation test: the short lifetime (p42) and high throughput (p56) argue against a routine admin script, cron job, or health-check."",
    ""Decide: the unusual exec chain and rare parent->child pair outweigh XGBoost's benign call; this supports the CNN.""
  ],
  ""key_features"": [""exec_count"", ""parent_child_rarity"", ""unique_syscalls"", ""seq_length"", ""lifetime_seconds""],
  ""agrees_with"": ""cnn""
}"
234,4,0,benign,0,1,0.462651193,0.741986275,xgb_benign_cnn_malicious,MALICIOUS,1,0.83,cnn,ok,"[""Privilege state: auid_euid_mismatch is set and max_uid_euid_delta is at p50, indicating a potential identity inconsistency and privilege transition."", ""Mechanism: the process has a high syscall throughput (events_per_second at p98) and a long syscall sequence (seq_length at p98), suggesting a potential escalation attempt."", ""Behavioural anomaly: the process has a high failed syscall rate (failed_call_rate at p98) and a high count of failed syscalls (failed_call_count at p98), indicating potential system exploitation."", ""Benign-explanation test: the process has a short lifetime (lifetime_seconds at p42) and a high syscall throughput, making it unlikely to be a routine admin script, cron job, or health-check."", ""Decide: the high syscall throughput, failed syscall rate, and potential identity inconsistency outweigh XGBoost's benign call; this supports the CNN.""]","[""events_per_second"", ""seq_length"", ""auid_euid_mismatch"", ""failed_call_rate"", ""failed_call_count""]","{
  ""verdict"": ""MALICIOUS"",
  ""confidence"": 0.83,
  ""rationale_steps"": [
    ""Privilege state: auid_euid_mismatch is set and max_uid_euid_delta is at p50, indicating a potential identity inconsistency and privilege transition."",
    ""Mechanism: the process has a high syscall throughput (events_per_second at p98) and a long syscall sequence (seq_length at p98), suggesting a potential escalation attempt."",
    ""Behavioural anomaly: the process has a high failed syscall rate (failed_call_rate at p98) and a high count of failed syscalls (failed_call_count at p98), indicating potential system exploitation."",
    ""Benign-explanation test: the process has a short lifetime (lifetime_seconds at p42) and a high syscall throughput, making it unlikely to be a routine admin script, cron job, or health-check."",
    ""Decide: the high syscall throughput, failed syscall rate, and potential identity inconsistency outweigh XGBoost's benign call; this supports the CNN.""
  ],
  ""key_features"": [""events_per_second"", ""seq_length"", ""auid_euid_mismatch"", ""failed_call_rate"", ""failed_call_count""],
  ""agrees_with"": ""cnn""
}"
238,4,0,benign,0,1,0.538230777,0.948988497,xgb_benign_cnn_malicious,MALICIOUS,1,0.95,cnn,ok,"[""Privilege state: euid_root is set and uid_is_root is set -- a real root context."", ""Mechanism: parent_child_rarity is near 1 and exec_count is elevated -- a rare exec pair and a high number of exec() calls."", ""Behavioural anomaly: events_per_second is near p93 and failed_call_rate is high -- a high syscall throughput and a high rate of failed syscalls."", ""Benign-explanation test: very short lifetime (p42) and low throughput argue against a routine admin script, cron job, or health-check."", ""Decide: the root context, rare exec pair, and high syscall throughput outweigh XGBoost's benign call; this supports the CNN.""]","[""uid_is_root"", ""euid_root"", ""parent_child_rarity"", ""exec_count"", ""failed_call_rate""]","{
  ""verdict"": ""MALICIOUS"",
  ""confidence"": 0.95,
  ""rationale_steps"": [
    ""Privilege state: euid_root is set and uid_is_root is set -- a real root context."",
    ""Mechanism: parent_child_rarity is near 1 and exec_count is elevated -- a rare exec pair and a high number of exec() calls."",
    ""Behavioural anomaly: events_per_second is near p93 and failed_call_rate is high -- a high syscall throughput and a high rate of failed syscalls."",
    ""Benign-explanation test: very short lifetime (p42) and low throughput argue against a routine admin script, cron job, or health-check."",
    ""Decide: the root context, rare exec pair, and high syscall throughput outweigh XGBoost's benign call; this supports the CNN.""
  ],
  ""key_features"": [""uid_is_root"", ""euid_root"", ""parent_child_rarity"", ""exec_count"", ""failed_call_rate""],
  ""agrees_with"": ""cnn""
}"
697,3,0,benign,0,1,0.692317724,0.991753459,xgb_benign_cnn_malicious,MALICIOUS,1,0.99,cnn,ok,"[""Privilege state: euid_root is set and auid_euid_mismatch is not set, but max_uid_euid_delta is 0, indicating no privilege transition."", ""Mechanism: is_suid_exec is 0 and exec_count is elevated, indicating an unusual exec chain."", ""Behavioural anomaly: parent_child_rarity is 1, indicating a rare parent->child pair, and network_count is 0, indicating no network activity."", ""Benign-explanation test: the short lifetime (p42) and high throughput (p56) argue against a routine admin script, cron job, or health-check."", ""Decide: the unusual exec chain and rare parent->child pair outweigh XGBoost's benign call; this supports the CNN.""]","[""exec_count"", ""parent_child_rarity"", ""unique_syscalls"", ""seq_length"", ""lifetime_seconds""]","{
  ""verdict"": ""MALICIOUS"",
  ""confidence"": 0.99,
  ""rationale_steps"": [
    ""Privilege state: euid_root is set and auid_euid_mismatch is not set, but max_uid_euid_delta is 0, indicating no privilege transition."",
    ""Mechanism: is_suid_exec is 0 and exec_count is elevated, indicating an unusual exec chain."",
    ""Behavioural anomaly: parent_child_rarity is 1, indicating a rare parent->child pair, and network_count is 0, indicating no network activity."",
    ""Benign-explanation test: the short lifetime (p42) and high throughput (p56) argue against a routine admin script, cron job, or health-check."",
    ""Decide: the unusual exec chain and rare parent->child pair outweigh XGBoost's benign call; this supports the CNN.""
  ],
  ""key_features"": [""exec_count"", ""parent_child_rarity"", ""unique_syscalls"", ""seq_length"", ""lifetime_seconds""],
  ""agrees_with"": ""cnn""
}"
868,1,0,benign,0,1,0.694502592,0.936207414,xgb_benign_cnn_malicious,MALICIOUS,1,0.94,cnn,ok,"[""Privilege state: euid_root is set and uid_is_root is set -- a real root context."", ""Mechanism: exec_count is elevated and failed_call_rate is set -- a high syscall throughput and error rate, indicative of a privilege escalation attempt."", ""Behavioural anomaly: parent_child_rarity is near 1 and failed_call_count is high -- an exec pair essentially never seen in benign activity and a high error rate."", ""Benign-explanation test: very high throughput and error rate argue against a routine admin script, cron job, or health-check."", ""Decide: the escalation mechanism and behavioural anomalies outweigh XGBoost's benign call; this supports the CNN.""]","[""euid_root"", ""uid_is_root"", ""exec_count"", ""failed_call_rate"", ""failed_call_count""]","{
  ""verdict"": ""MALICIOUS"",
  ""confidence"": 0.94,
  ""rationale_steps"": [
    ""Privilege state: euid_root is set and uid_is_root is set -- a real root context."",
    ""Mechanism: exec_count is elevated and failed_call_rate is set -- a high syscall throughput and error rate, indicative of a privilege escalation attempt."",
    ""Behavioural anomaly: parent_child_rarity is near 1 and failed_call_count is high -- an exec pair essentially never seen in benign activity and a high error rate."",
    ""Benign-explanation test: very high throughput and error rate argue against a routine admin script, cron job, or health-check."",
    ""Decide: the escalation mechanism and behavioural anomalies outweigh XGBoost's benign call; this supports the CNN.""
  ],
  ""key_features"": [""euid_root"", ""uid_is_root"", ""exec_count"", ""failed_call_rate"", ""failed_call_count""],
  ""agrees_with"": ""cnn""
}"
1039,4,0,benign,0,1,0.538230777,0.948988497,xgb_benign_cnn_malicious,MALICIOUS,1,0.95,cnn,ok,"[""Privilege state: euid_root is set and uid_is_root is set -- a real root context."", ""Mechanism: parent_child_rarity is near 1 and exec_count is elevated -- a rare exec pair and a high number of exec() calls."", ""Behavioural anomaly: events_per_second is near p93 and failed_call_rate is high -- a high syscall throughput and a high rate of failed syscalls."", ""Benign-explanation test: very short lifetime (p42) and low throughput argue against a routine admin script, cron job, or health-check."", ""Decide: the root context, rare exec pair, and high syscall throughput outweigh XGBoost's benign call; this supports the CNN.""]","[""uid_is_root"", ""euid_root"", ""parent_child_rarity"", ""exec_count"", ""failed_call_rate""]","{
  ""verdict"": ""MALICIOUS"",
  ""confidence"": 0.95,
  ""rationale_steps"": [
    ""Privilege state: euid_root is set and uid_is_root is set -- a real root context."",
    ""Mechanism: parent_child_rarity is near 1 and exec_count is elevated -- a rare exec pair and a high number of exec() calls."",
    ""Behavioural anomaly: events_per_second is near p93 and failed_call_rate is high -- a high syscall throughput and a high rate of failed syscalls."",
    ""Benign-explanation test: very short lifetime (p42) and low throughput argue against a routine admin script, cron job, or health-check."",
    ""Decide: the root context, rare exec pair, and high syscall throughput outweigh XGBoost's benign call; this supports the CNN.""
  ],
  ""key_features"": [""uid_is_root"", ""euid_root"", ""parent_child_rarity"", ""exec_count"", ""failed_call_rate""],
  ""agrees_with"": ""cnn""
}"
1438,3,1,T1078_Valid_Accounts,0,1,0.692317724,0.991753459,xgb_benign_cnn_malicious,MALICIOUS,1,0.99,cnn,ok,"[""Privilege state: euid_root is set and auid_euid_mismatch is not set, but max_uid_euid_delta is 0, indicating no privilege transition."", ""Mechanism: is_suid_exec is 0 and exec_count is elevated, indicating an unusual exec chain."", ""Behavioural anomaly: parent_child_rarity is 1, indicating a rare parent->child pair, and network_count is 0, indicating no network activity."", ""Benign-explanation test: the short lifetime (p42) and high throughput (p56) argue against a routine admin script, cron job, or health-check."", ""Decide: the unusual exec chain and rare parent->child pair outweigh XGBoost's benign call; this supports the CNN.""]","[""exec_count"", ""parent_child_rarity"", ""unique_syscalls"", ""seq_length"", ""lifetime_seconds""]","{
  ""verdict"": ""MALICIOUS"",
  ""confidence"": 0.99,
  ""rationale_steps"": [
    ""Privilege state: euid_root is set and auid_euid_mismatch is not set, but max_uid_euid_delta is 0, indicating no privilege transition."",
    ""Mechanism: is_suid_exec is 0 and exec_count is elevated, indicating an unusual exec chain."",
    ""Behavioural anomaly: parent_child_rarity is 1, indicating a rare parent->child pair, and network_count is 0, indicating no network activity."",
    ""Benign-explanation test: the short lifetime (p42) and high throughput (p56) argue against a routine admin script, cron job, or health-check."",
    ""Decide: the unusual exec chain and rare parent->child pair outweigh XGBoost's benign call; this supports the CNN.""
  ],
  ""key_features"": [""exec_count"", ""parent_child_rarity"", ""unique_syscalls"", ""seq_length"", ""lifetime_seconds""],
  ""agrees_with"": ""cnn""
}"
1837,4,0,benign,0,1,0.462651193,0.741986275,xgb_benign_cnn_malicious,MALICIOUS,1,0.83,cnn,ok,"[""Privilege state: auid_euid_mismatch is set and max_uid_euid_delta is at p50, indicating a potential identity inconsistency and privilege transition."", ""Mechanism: the process has a high syscall throughput (events_per_second at p98) and a long syscall sequence (seq_length at p98), suggesting a potential escalation attempt."", ""Behavioural anomaly: the process has a high failed syscall rate (failed_call_rate at p98) and a high count of failed syscalls (failed_call_count at p98), indicating potential system exploitation."", ""Benign-explanation test: the process has a short lifetime (lifetime_seconds at p42) and a high syscall throughput, making it unlikely to be a routine admin script, cron job, or health-check."", ""Decide: the high syscall throughput, failed syscall rate, and potential identity inconsistency outweigh XGBoost's benign call; this supports the CNN.""]","[""events_per_second"", ""seq_length"", ""auid_euid_mismatch"", ""failed_call_rate"", ""failed_call_count""]","{
  ""verdict"": ""MALICIOUS"",
  ""confidence"": 0.83,
  ""rationale_steps"": [
    ""Privilege state: auid_euid_mismatch is set and max_uid_euid_delta is at p50, indicating a potential identity inconsistency and privilege transition."",
    ""Mechanism: the process has a high syscall throughput (events_per_second at p98) and a long syscall sequence (seq_length at p98), suggesting a potential escalation attempt."",
    ""Behavioural anomaly: the process has a high failed syscall rate (failed_call_rate at p98) and a high count of failed syscalls (failed_call_count at p98), indicating potential system exploitation."",
    ""Benign-explanation test: the process has a short lifetime (lifetime_seconds at p42) and a high syscall throughput, making it unlikely to be a routine admin script, cron job, or health-check."",
    ""Decide: the high syscall throughput, failed syscall rate, and potential identity inconsistency outweigh XGBoost's benign call; this supports the CNN.""
  ],
  ""key_features"": [""events_per_second"", ""seq_length"", ""auid_euid_mismatch"", ""failed_call_rate"", ""failed_call_count""],
  ""agrees_with"": ""cnn""
}"
1880,4,0,benign,0,1,0.538230777,0.948988497,xgb_benign_cnn_malicious,MALICIOUS,1,0.95,cnn,ok,"[""Privilege state: euid_root is set and uid_is_root is set -- a real root context."", ""Mechanism: parent_child_rarity is near 1 and exec_count is elevated -- a rare exec pair and a high number of exec() calls."", ""Behavioural anomaly: events_per_second is near p93 and failed_call_rate is high -- a high syscall throughput and a high rate of failed syscalls."", ""Benign-explanation test: very short lifetime (p42) and low throughput argue against a routine admin script, cron job, or health-check."", ""Decide: the root context, rare exec pair, and high syscall throughput outweigh XGBoost's benign call; this supports the CNN.""]","[""uid_is_root"", ""euid_root"", ""parent_child_rarity"", ""exec_count"", ""failed_call_rate""]","{
  ""verdict"": ""MALICIOUS"",
  ""confidence"": 0.95,
  ""rationale_steps"": [
    ""Privilege state: euid_root is set and uid_is_root is set -- a real root context."",
    ""Mechanism: parent_child_rarity is near 1 and exec_count is elevated -- a rare exec pair and a high number of exec() calls."",
    ""Behavioural anomaly: events_per_second is near p93 and failed_call_rate is high -- a high syscall throughput and a high rate of failed syscalls."",
    ""Benign-explanation test: very short lifetime (p42) and low throughput argue against a routine admin script, cron job, or health-check."",
    ""Decide: the root context, rare exec pair, and high syscall throughput outweigh XGBoost's benign call; this supports the CNN.""
  ],
  ""key_features"": [""uid_is_root"", ""euid_root"", ""parent_child_rarity"", ""exec_count"", ""failed_call_rate""],
  ""agrees_with"": ""cnn""
}"
