row_id,fold,true_label,technique,pred_xgb,pred_cnn,proba_xgb,proba_cnn,disagreement_direction,llm_verdict,llm_pred,llm_confidence,llm_agrees_with,parse_status,rationale_steps,key_features,raw
115,3,0,benign,0,1,0.6923177242279053,0.9917534589767456,xgb_benign_cnn_malicious,,-1,,,call_error,[],[],"ReadTimeout(ReadTimeoutError(""HTTPConnectionPool(host='127.0.0.1', port=12434): Read timed out. (read timeout=180)""))"
123,3,1,T1078_Valid_Accounts,0,1,0.6923177242279053,0.9917534589767456,xgb_benign_cnn_malicious,MALICIOUS,1,0.85,cnn,ok,"[""Privilege state: unique_syscalls and exec_count are high, suggesting complex or unusual command execution, but max_uid_euid_delta is low, indicating no clear privilege escalation."", ""Mechanism: parent_child_rarity is 1, indicating a rare exec chain, and exec_count is high, which could be indicative of scripting or command chaining, but lacks clear signs of privilege escalation mechanisms like setuid/setgid."", ""Behavioural anomaly: failed_call_rate is high and failed_call_count is also high, suggesting a process with many failed system calls, which is unusual for benign activity."", ""Benign-explanation test: The short lifetime_seconds and high syscall throughput (events_per_second) are inconsistent with typical benign admin scripting or health-check behavior."", ""Decide: The high failed_call_rate and exec_count, along with the rare exec chain, suggest a malicious process, especially given the high confidence from the CNN model, which is more attuned to these features.""]","[""unique_syscalls"", ""exec_count"", ""parent_child_rarity"", ""failed_call_rate"", ""failed_call_count""]","{
  ""verdict"": ""MALICIOUS"",
  ""confidence"": 0.85,
  ""rationale_steps"": [
    ""Privilege state: unique_syscalls and exec_count are high, suggesting complex or unusual command execution, but max_uid_euid_delta is low, indicating no clear privilege escalation."",
    ""Mechanism: parent_child_rarity is 1, indicating a rare exec chain, and exec_count is high, which could be indicative of scripting or command chaining, but lacks clear signs of privilege escalation mechanisms like setuid/setgid."",
    ""Behavioural anomaly: failed_call_rate is high and failed_call_count is also high, suggesting a process with many failed system calls, which is unusual for benign activity."",
    ""Benign-explanation test: The short lifetime_seconds and high syscall throughput (events_per_second) are inconsistent with typical benign admin scripting or health-check behavior."",
    ""Decide: The high failed_call_rate and exec_count, along with the rare exec chain, suggest a malicious process, especially given the high confidence from the CNN model, which is more attuned to these features.""
  ],
  ""key_features"": [""unique_syscalls"", ""exec_count"", ""parent_child_rarity"", ""failed_call_rate"", ""failed_call_count""],
  ""agrees_with"": ""cnn""
}"
234,4,0,benign,0,1,0.4626511931419372,0.7419862747192383,xgb_benign_cnn_malicious,MALICIOUS,1,0.75,cnn,ok,"[""Privilege state: auid_euid_mismatch set indicates an identity inconsistency, suggesting a potential privilege escalation attempt."", ""Mechanism: high exec_count and parent_child_rarity near 1 suggest an unusual exec chain, which is a tactic in T1059."", ""Behavioural anomaly: high failed_call_rate and failed_call_count, along with a short lifetime, point towards a failed privilege escalation attempt, which aligns with T1222."", ""Benign-explanation test: high events_per_second and short lifetime_seconds do not align with typical benign admin scripting or health-check behavior."", ""Decide: the combination of privilege state inconsistency, unusual exec chain, and failed syscall rate supports the CNN's classification over XGBoost's benign call.""]","[""events_per_second"", ""auid_euid_mismatch"", ""failed_call_rate"", ""failed_call_count"", ""exec_count""]","{""verdict"": ""MALICIOUS"", ""confidence"": 0.75, ""rationale_steps"": [""Privilege state: auid_euid_mismatch set indicates an identity inconsistency, suggesting a potential privilege escalation attempt."", ""Mechanism: high exec_count and parent_child_rarity near 1 suggest an unusual exec chain, which is a tactic in T1059."", ""Behavioural anomaly: high failed_call_rate and failed_call_count, along with a short lifetime, point towards a failed privilege escalation attempt, which aligns with T1222."", ""Benign-explanation test: high events_per_second and short lifetime_seconds do not align with typical benign admin scripting or health-check behavior."", ""Decide: the combination of privilege state inconsistency, unusual exec chain, and failed syscall rate supports the CNN's classification over XGBoost's benign call.""], ""key_features"": [""events_per_second"", ""auid_euid_mismatch"", ""failed_call_rate"", ""failed_call_count"", ""exec_count""], ""agrees_with"": ""cnn""}"
238,4,0,benign,0,1,0.5382307767868042,0.9489884972572328,xgb_benign_cnn_malicious,MALICIOUS,1,0.72,cnn,ok,"[""Privilege state: uid_changed is 0, suggesting no clear privilege escalation, but ephemeral_privileged is 1 indicating brief privilege held."", ""Mechanism: exec_count is 3, which is slightly elevated but not definitive for malicious activity on its own."", ""Behavioural anomaly: parent_child_rarity is 1 (never seen before) and failed_call_count is 7, indicating potential syscall failures that could be indicative of an attack."", ""Benign-explanation test: short lifetime_seconds (0.001) and high syscall throughput (events_per_second at 8000) argue against a typical benign process."", ""Decide: the combination of parent_child_rarity and failed_call_count, alongside the short lifetime, supports the CNN's call over XGBoost's more cautious classification.""]","[""parent_child_rarity"", ""lifetime_seconds"", ""events_per_second"", ""failed_call_count"", ""ephemeral_privileged""]","{""verdict"": ""MALICIOUS"", ""confidence"": 0.72, ""rationale_steps"": [""Privilege state: uid_changed is 0, suggesting no clear privilege escalation, but ephemeral_privileged is 1 indicating brief privilege held."", ""Mechanism: exec_count is 3, which is slightly elevated but not definitive for malicious activity on its own."", ""Behavioural anomaly: parent_child_rarity is 1 (never seen before) and failed_call_count is 7, indicating potential syscall failures that could be indicative of an attack."", ""Benign-explanation test: short lifetime_seconds (0.001) and high syscall throughput (events_per_second at 8000) argue against a typical benign process."", ""Decide: the combination of parent_child_rarity and failed_call_count, alongside the short lifetime, supports the CNN's call over XGBoost's more cautious classification.""], ""key_features"": [""parent_child_rarity"", ""lifetime_seconds"", ""events_per_second"", ""failed_call_count"", ""ephemeral_privileged""], ""agrees_with"": ""cnn""}"
697,3,0,benign,0,1,0.6923177242279053,0.9917534589767456,xgb_benign_cnn_malicious,MALICIOUS,1,0.75,cnn,ok,"[""Privilege state: parent_child_rarity is 1 (never seen before) and exec_count is high, suggesting a potential privilege escalation attempt."", ""Mechanism: unique_syscalls at p98 and exec_count at p24 indicate unusual execution patterns, which could be indicative of an attack."", ""Behavioural anomaly: failed_call_rate is 0.8 and failed_call_count is 4, suggesting a high rate of failed system calls, which is unusual for benign processes."", ""Benign-explanation test: the short lifetime_seconds and high syscall throughput (events_per_second at 5000) do not align with typical benign admin scripting or health-check behavior."", ""Decide: the combination of unusual execution patterns, high failed syscall rate, and short lifetime supports the CNN's MALICIOUS classification over XGBoost's BENIGN call.""]","[""unique_syscalls"", ""exec_count"", ""parent_child_rarity"", ""failed_call_rate"", ""events_per_second""]","{""verdict"": ""MALICIOUS"", ""confidence"": 0.75, ""rationale_steps"": [""Privilege state: parent_child_rarity is 1 (never seen before) and exec_count is high, suggesting a potential privilege escalation attempt."", ""Mechanism: unique_syscalls at p98 and exec_count at p24 indicate unusual execution patterns, which could be indicative of an attack."", ""Behavioural anomaly: failed_call_rate is 0.8 and failed_call_count is 4, suggesting a high rate of failed system calls, which is unusual for benign processes."", ""Benign-explanation test: the short lifetime_seconds and high syscall throughput (events_per_second at 5000) do not align with typical benign admin scripting or health-check behavior."", ""Decide: the combination of unusual execution patterns, high failed syscall rate, and short lifetime supports the CNN's MALICIOUS classification over XGBoost's BENIGN call.""], ""key_features"": [""unique_syscalls"", ""exec_count"", ""parent_child_rarity"", ""failed_call_rate"", ""events_per_second""], ""agrees_with"": ""cnn""}"
868,1,0,benign,0,1,0.694502592,0.9362074136734008,xgb_benign_cnn_malicious,MALICIOUS,1,0.92,cnn,ok,"[""Privilege state: high failed_call_rate and failed_call_count suggest attempts to access restricted resources, coupled with auid_euid_mismatch indicating potential identity spoofing."", ""Mechanism: exec_count is unusually high, which, when paired with failed syscalls, hints at a script or command interpreter being misused in an attempt to escalate privileges."", ""Behavioural anomaly: the process exhibits a very high syscall throughput (events_per_second) and a rare parent->child exec pair (parent_child_rarity near 1), which is uncommon for benign activity."", ""Benign-explanation test: the short lifetime_seconds and the unique_syscalls count being very low argue against this being a routine admin script or health-check."", ""Decide: the combination of failed syscall attempts, unusual exec chain, and identity inconsistency strongly supports the CNN's classification over XGBoost's more cautious call.""]","[""events_per_second"", ""failed_call_rate"", ""failed_call_count"", ""exec_count"", ""auid_euid_mismatch""]","{
  ""verdict"": ""MALICIOUS"",
  ""confidence"": 0.92,
  ""rationale_steps"": [
    ""Privilege state: high failed_call_rate and failed_call_count suggest attempts to access restricted resources, coupled with auid_euid_mismatch indicating potential identity spoofing."",
    ""Mechanism: exec_count is unusually high, which, when paired with failed syscalls, hints at a script or command interpreter being misused in an attempt to escalate privileges."",
    ""Behavioural anomaly: the process exhibits a very high syscall throughput (events_per_second) and a rare parent->child exec pair (parent_child_rarity near 1), which is uncommon for benign activity."",
    ""Benign-explanation test: the short lifetime_seconds and the unique_syscalls count being very low argue against this being a routine admin script or health-check."",
    ""Decide: the combination of failed syscall attempts, unusual exec chain, and identity inconsistency strongly supports the CNN's classification over XGBoost's more cautious call.""
  ],
  ""key_features"": [
    ""events_per_second"",
    ""failed_call_rate"",
    ""failed_call_count"",
    ""exec_count"",
    ""auid_euid_mismatch""
  ],
  ""agrees_with"": ""cnn""
}"
1039,4,0,benign,0,1,0.5382307767868042,0.9489884972572328,xgb_benign_cnn_malicious,MALICIOUS,1,0.72,cnn,ok,"[""Privilege state: uid_changed is 0, suggesting no clear privilege escalation, but ephemeral_privileged is 1 indicating brief privilege held."", ""Mechanism: exec_count is 3, which is slightly elevated but not definitive for malicious activity on its own."", ""Behavioural anomaly: parent_child_rarity is 1 (never seen before) and failed_call_count is 7, indicating potential syscall failures that could be indicative of an attack."", ""Benign-explanation test: short lifetime_seconds (0.001) and high syscall throughput (events_per_second at 8000) argue against a typical benign process."", ""Decide: the combination of parent_child_rarity and failed_call_count, alongside the short lifetime, supports the CNN's call over XGBoost's more cautious classification.""]","[""parent_child_rarity"", ""lifetime_seconds"", ""events_per_second"", ""failed_call_count"", ""ephemeral_privileged""]","{""verdict"": ""MALICIOUS"", ""confidence"": 0.72, ""rationale_steps"": [""Privilege state: uid_changed is 0, suggesting no clear privilege escalation, but ephemeral_privileged is 1 indicating brief privilege held."", ""Mechanism: exec_count is 3, which is slightly elevated but not definitive for malicious activity on its own."", ""Behavioural anomaly: parent_child_rarity is 1 (never seen before) and failed_call_count is 7, indicating potential syscall failures that could be indicative of an attack."", ""Benign-explanation test: short lifetime_seconds (0.001) and high syscall throughput (events_per_second at 8000) argue against a typical benign process."", ""Decide: the combination of parent_child_rarity and failed_call_count, alongside the short lifetime, supports the CNN's call over XGBoost's more cautious classification.""], ""key_features"": [""parent_child_rarity"", ""lifetime_seconds"", ""events_per_second"", ""failed_call_count"", ""ephemeral_privileged""], ""agrees_with"": ""cnn""}"
1438,3,1,T1078_Valid_Accounts,0,1,0.6923177242279053,0.9917534589767456,xgb_benign_cnn_malicious,MALICIOUS,1,0.75,cnn,ok,"[""Privilege state: parent_child_rarity is 1 (never seen before) and exec_count is high, suggesting a potential privilege escalation attempt."", ""Mechanism: unique_syscalls at p98 and exec_count at p24 indicate unusual execution patterns, which could be indicative of an attack."", ""Behavioural anomaly: failed_call_rate is 0.8 and failed_call_count is 4, suggesting a high rate of failed system calls, which is unusual for benign processes."", ""Benign-explanation test: the short lifetime_seconds and high syscall throughput (events_per_second at 5000) do not align with typical benign admin scripting or health-check behavior."", ""Decide: the combination of unusual execution patterns, high failed syscall rate, and short lifetime supports the CNN's MALICIOUS classification over XGBoost's BENIGN call.""]","[""unique_syscalls"", ""exec_count"", ""parent_child_rarity"", ""failed_call_rate"", ""events_per_second""]","{""verdict"": ""MALICIOUS"", ""confidence"": 0.75, ""rationale_steps"": [""Privilege state: parent_child_rarity is 1 (never seen before) and exec_count is high, suggesting a potential privilege escalation attempt."", ""Mechanism: unique_syscalls at p98 and exec_count at p24 indicate unusual execution patterns, which could be indicative of an attack."", ""Behavioural anomaly: failed_call_rate is 0.8 and failed_call_count is 4, suggesting a high rate of failed system calls, which is unusual for benign processes."", ""Benign-explanation test: the short lifetime_seconds and high syscall throughput (events_per_second at 5000) do not align with typical benign admin scripting or health-check behavior."", ""Decide: the combination of unusual execution patterns, high failed syscall rate, and short lifetime supports the CNN's MALICIOUS classification over XGBoost's BENIGN call.""], ""key_features"": [""unique_syscalls"", ""exec_count"", ""parent_child_rarity"", ""failed_call_rate"", ""events_per_second""], ""agrees_with"": ""cnn""}"
1837,4,0,benign,0,1,0.4626511931419372,0.7419862747192383,xgb_benign_cnn_malicious,MALICIOUS,1,0.75,cnn,ok,"[""Privilege state: auid_euid_mismatch set indicates an identity inconsistency, suggesting a potential privilege escalation attempt."", ""Mechanism: high exec_count and parent_child_rarity near 1 suggest an unusual exec chain, which is a tactic in T1059."", ""Behavioural anomaly: high failed_call_rate and failed_call_count, along with a short lifetime, point towards a failed privilege escalation attempt, which aligns with T1222."", ""Benign-explanation test: high events_per_second and short lifetime_seconds do not align with typical benign admin scripting or health-check behavior."", ""Decide: the combination of privilege state inconsistency, unusual exec chain, and failed syscall rate supports the CNN's classification over XGBoost's benign call.""]","[""events_per_second"", ""auid_euid_mismatch"", ""failed_call_rate"", ""failed_call_count"", ""exec_count""]","{""verdict"": ""MALICIOUS"", ""confidence"": 0.75, ""rationale_steps"": [""Privilege state: auid_euid_mismatch set indicates an identity inconsistency, suggesting a potential privilege escalation attempt."", ""Mechanism: high exec_count and parent_child_rarity near 1 suggest an unusual exec chain, which is a tactic in T1059."", ""Behavioural anomaly: high failed_call_rate and failed_call_count, along with a short lifetime, point towards a failed privilege escalation attempt, which aligns with T1222."", ""Benign-explanation test: high events_per_second and short lifetime_seconds do not align with typical benign admin scripting or health-check behavior."", ""Decide: the combination of privilege state inconsistency, unusual exec chain, and failed syscall rate supports the CNN's classification over XGBoost's benign call.""], ""key_features"": [""events_per_second"", ""auid_euid_mismatch"", ""failed_call_rate"", ""failed_call_count"", ""exec_count""], ""agrees_with"": ""cnn""}"
1880,4,0,benign,0,1,0.5382307767868042,0.9489884972572328,xgb_benign_cnn_malicious,MALICIOUS,1,0.72,cnn,ok,"[""Privilege state: uid_changed is 0, suggesting no clear privilege escalation, but ephemeral_privileged is 1 indicating brief privilege held."", ""Mechanism: exec_count is 3, which is slightly elevated but not definitive for malicious activity on its own."", ""Behavioural anomaly: parent_child_rarity is 1 (never seen before) and failed_call_count is 7, indicating potential syscall failures that could be indicative of an attack."", ""Benign-explanation test: short lifetime_seconds (0.001) and high syscall throughput (events_per_second at 8000) argue against a typical benign process."", ""Decide: the combination of parent_child_rarity and failed_call_count, alongside the short lifetime, supports the CNN's call over XGBoost's more cautious classification.""]","[""parent_child_rarity"", ""lifetime_seconds"", ""events_per_second"", ""failed_call_count"", ""ephemeral_privileged""]","{""verdict"": ""MALICIOUS"", ""confidence"": 0.72, ""rationale_steps"": [""Privilege state: uid_changed is 0, suggesting no clear privilege escalation, but ephemeral_privileged is 1 indicating brief privilege held."", ""Mechanism: exec_count is 3, which is slightly elevated but not definitive for malicious activity on its own."", ""Behavioural anomaly: parent_child_rarity is 1 (never seen before) and failed_call_count is 7, indicating potential syscall failures that could be indicative of an attack."", ""Benign-explanation test: short lifetime_seconds (0.001) and high syscall throughput (events_per_second at 8000) argue against a typical benign process."", ""Decide: the combination of parent_child_rarity and failed_call_count, alongside the short lifetime, supports the CNN's call over XGBoost's more cautious classification.""], ""key_features"": [""parent_child_rarity"", ""lifetime_seconds"", ""events_per_second"", ""failed_call_count"", ""ephemeral_privileged""], ""agrees_with"": ""cnn""}"
