row_id,fold,true_label,technique,pred_xgb,pred_cnn,proba_xgb,proba_cnn,disagreement_direction,llm_verdict,llm_pred,llm_confidence,llm_agrees_with,parse_status,rationale_steps,key_features,raw
115,3,0,benign,0,1,0.6923177242279053,0.9917534589767456,xgb_benign_cnn_malicious,MALICIOUS,1,0.99,cnn,ok,"[""Privilege state: root context with uid_is_root and euid_root set -- a genuine UID/EUID transition."", ""Mechanism: unique_syscalls at p99+ and exec_count elevated -- an unusual exec chain."", ""Behavioural anomaly: failed_call_rate at p46 and parent_child_rarity at p99+ -- a rare parent->child pair and a high rate of failed syscalls."", ""Benign-explanation test: very high throughput (5000 events/second) and a short lifetime (0.001 seconds) argue against a routine admin script, cron job, or health-check."", ""Decide: the privilege state, unusual exec chain, and behavioural anomalies outweigh XGBoost's benign call; this supports the CNN.""]","[""uid_is_root"", ""euid_root"", ""unique_syscalls"", ""exec_count"", ""failed_call_rate""]","{
  ""verdict"": ""MALICIOUS"",
  ""confidence"": 0.99,
  ""rationale_steps"": [
    ""Privilege state: root context with uid_is_root and euid_root set -- a genuine UID/EUID transition."",
    ""Mechanism: unique_syscalls at p99+ and exec_count elevated -- an unusual exec chain."",
    ""Behavioural anomaly: failed_call_rate at p46 and parent_child_rarity at p99+ -- a rare parent->child pair and a high rate of failed syscalls."",
    ""Benign-explanation test: very high throughput (5000 events/second) and a short lifetime (0.001 seconds) argue against a routine admin script, cron job, or health-check."",
    ""Decide: the privilege state, unusual exec chain, and behavioural anomalies outweigh XGBoost's benign call; this supports the CNN.""
  ],
  ""key_features"": [""uid_is_root"", ""euid_root"", ""unique_syscalls"", ""exec_count"", ""failed_call_rate""],
  ""agrees_with"": ""cnn""
}"
123,3,1,T1078_Valid_Accounts,0,1,0.6923177242279053,0.9917534589767456,xgb_benign_cnn_malicious,MALICIOUS,1,0.99,cnn,ok,"[""Privilege state: root context with uid_is_root and euid_root set -- a genuine UID/EUID transition."", ""Mechanism: unique_syscalls at p99+ and exec_count elevated -- an unusual exec chain."", ""Behavioural anomaly: failed_call_rate at p46 and parent_child_rarity at p99+ -- a rare parent->child pair and a high rate of failed syscalls."", ""Benign-explanation test: very high throughput (5000 events/second) and a short lifetime (0.001 seconds) argue against a routine admin script, cron job, or health-check."", ""Decide: the privilege state, unusual exec chain, and behavioural anomalies outweigh XGBoost's benign call; this supports the CNN.""]","[""uid_is_root"", ""euid_root"", ""unique_syscalls"", ""exec_count"", ""failed_call_rate""]","{
  ""verdict"": ""MALICIOUS"",
  ""confidence"": 0.99,
  ""rationale_steps"": [
    ""Privilege state: root context with uid_is_root and euid_root set -- a genuine UID/EUID transition."",
    ""Mechanism: unique_syscalls at p99+ and exec_count elevated -- an unusual exec chain."",
    ""Behavioural anomaly: failed_call_rate at p46 and parent_child_rarity at p99+ -- a rare parent->child pair and a high rate of failed syscalls."",
    ""Benign-explanation test: very high throughput (5000 events/second) and a short lifetime (0.001 seconds) argue against a routine admin script, cron job, or health-check."",
    ""Decide: the privilege state, unusual exec chain, and behavioural anomalies outweigh XGBoost's benign call; this supports the CNN.""
  ],
  ""key_features"": [""uid_is_root"", ""euid_root"", ""unique_syscalls"", ""exec_count"", ""failed_call_rate""],
  ""agrees_with"": ""cnn""
}"
234,4,0,benign,0,1,0.4626511931419372,0.7419862747192383,xgb_benign_cnn_malicious,MALICIOUS,1,0.83,cnn,ok,"[""Privilege state: root context with max_uid_euid_delta at p99+ and auid_euid_mismatch set -- a real identity inconsistency and privilege transition."", ""Mechanism: uid_is_root and euid_root are set, indicating a root context, but is_suid_exec is 0, which suggests no setuid/setgid execution."", ""Behavioural anomaly: high syscall throughput (events_per_second at p99+) and a high failed_call_rate (0.9091) indicate unusual system activity."", ""Benign-explanation test: the short lifetime (p84) and high syscall throughput argue against a routine admin script, cron job, or health-check."", ""Decide: the privilege state and behavioural anomalies outweigh XGBoost's benign call; this supports the CNN.""]","[""events_per_second"", ""auid_euid_mismatch"", ""max_uid_euid_delta"", ""uid_is_root"", ""euid_root""]","{
  ""verdict"": ""MALICIOUS"",
  ""confidence"": 0.83,
  ""rationale_steps"": [
    ""Privilege state: root context with max_uid_euid_delta at p99+ and auid_euid_mismatch set -- a real identity inconsistency and privilege transition."",
    ""Mechanism: uid_is_root and euid_root are set, indicating a root context, but is_suid_exec is 0, which suggests no setuid/setgid execution."",
    ""Behavioural anomaly: high syscall throughput (events_per_second at p99+) and a high failed_call_rate (0.9091) indicate unusual system activity."",
    ""Benign-explanation test: the short lifetime (p84) and high syscall throughput argue against a routine admin script, cron job, or health-check."",
    ""Decide: the privilege state and behavioural anomalies outweigh XGBoost's benign call; this supports the CNN.""
  ],
  ""key_features"": [""events_per_second"", ""auid_euid_mismatch"", ""max_uid_euid_delta"", ""uid_is_root"", ""euid_root""],
  ""agrees_with"": ""cnn""
}"
238,4,0,benign,0,1,0.5382307767868042,0.9489884972572328,xgb_benign_cnn_malicious,MALICIOUS,1,0.95,cnn,ok,"[""Privilege state: root context with uid_is_root and euid_root set -- a genuine UID/EUID transition."", ""Mechanism: is_suid_exec is 0 and a shell was not spawned from a service context, but priv_op_count is 0 and exec_count is elevated -- a rare exec chain."", ""Behavioural anomaly: failed_call_rate is 0.875 and parent_child_rarity is 1 -- a high failed-syscall rate and a rare parent->child pair."", ""Benign-explanation test: very short lifetime (p84) and high throughput argue against a routine admin script, cron job, or health-check."", ""Decide: the privilege state and behavioural anomaly outweigh XGBoost's benign call; this supports the CNN.""]","[""uid_is_root"", ""euid_root"", ""max_uid_euid_delta"", ""is_suid_exec"", ""ephemeral_privileged""]","{
  ""verdict"": ""MALICIOUS"",
  ""confidence"": 0.95,
  ""rationale_steps"": [
    ""Privilege state: root context with uid_is_root and euid_root set -- a genuine UID/EUID transition."",
    ""Mechanism: is_suid_exec is 0 and a shell was not spawned from a service context, but priv_op_count is 0 and exec_count is elevated -- a rare exec chain."",
    ""Behavioural anomaly: failed_call_rate is 0.875 and parent_child_rarity is 1 -- a high failed-syscall rate and a rare parent->child pair."",
    ""Benign-explanation test: very short lifetime (p84) and high throughput argue against a routine admin script, cron job, or health-check."",
    ""Decide: the privilege state and behavioural anomaly outweigh XGBoost's benign call; this supports the CNN.""
  ],
  ""key_features"": [""uid_is_root"", ""euid_root"", ""max_uid_euid_delta"", ""is_suid_exec"", ""ephemeral_privileged""],
  ""agrees_with"": ""cnn""
}"
697,3,0,benign,0,1,0.6923177242279053,0.9917534589767456,xgb_benign_cnn_malicious,MALICIOUS,1,0.99,cnn,ok,"[""Privilege state: root context with uid_is_root and euid_root set -- a genuine UID/EUID transition."", ""Mechanism: unique_syscalls at p99+ and exec_count elevated -- an unusual exec chain."", ""Behavioural anomaly: failed_call_rate at p46 and parent_child_rarity at p99+ -- a rare parent->child pair and a high rate of failed syscalls."", ""Benign-explanation test: very high throughput (5000 events/second) and a short lifetime (0.001 seconds) argue against a routine admin script, cron job, or health-check."", ""Decide: the privilege state, unusual exec chain, and behavioural anomalies outweigh XGBoost's benign call; this supports the CNN.""]","[""uid_is_root"", ""euid_root"", ""unique_syscalls"", ""exec_count"", ""failed_call_rate""]","{
  ""verdict"": ""MALICIOUS"",
  ""confidence"": 0.99,
  ""rationale_steps"": [
    ""Privilege state: root context with uid_is_root and euid_root set -- a genuine UID/EUID transition."",
    ""Mechanism: unique_syscalls at p99+ and exec_count elevated -- an unusual exec chain."",
    ""Behavioural anomaly: failed_call_rate at p46 and parent_child_rarity at p99+ -- a rare parent->child pair and a high rate of failed syscalls."",
    ""Benign-explanation test: very high throughput (5000 events/second) and a short lifetime (0.001 seconds) argue against a routine admin script, cron job, or health-check."",
    ""Decide: the privilege state, unusual exec chain, and behavioural anomalies outweigh XGBoost's benign call; this supports the CNN.""
  ],
  ""key_features"": [""uid_is_root"", ""euid_root"", ""unique_syscalls"", ""exec_count"", ""failed_call_rate""],
  ""agrees_with"": ""cnn""
}"
868,1,0,benign,0,1,0.694502592086792,0.9362074136734008,xgb_benign_cnn_malicious,MALICIOUS,1,0.94,cnn,ok,"[""Privilege state: root context with uid_is_root and euid_root set -- a genuine UID/EUID transition."", ""Mechanism: high syscall throughput (p99+) and exec_count elevated -- a classic escalation attempt."", ""Behavioural anomaly: failed_call_rate and failed_call_count are both at p99+, indicating a high rate of failed syscalls."", ""Benign-explanation test: very high syscall throughput and exec_count argue against a routine admin script, cron job, or health-check."", ""Decide: the escalation mechanism and high syscall throughput outweigh XGBoost's benign call; this supports the CNN.""]","[""events_per_second"", ""uid_is_root"", ""euid_root"", ""max_uid_euid_delta"", ""is_suid_exec""]","{
  ""verdict"": ""MALICIOUS"",
  ""confidence"": 0.94,
  ""rationale_steps"": [
    ""Privilege state: root context with uid_is_root and euid_root set -- a genuine UID/EUID transition."",
    ""Mechanism: high syscall throughput (p99+) and exec_count elevated -- a classic escalation attempt."",
    ""Behavioural anomaly: failed_call_rate and failed_call_count are both at p99+, indicating a high rate of failed syscalls."",
    ""Benign-explanation test: very high syscall throughput and exec_count argue against a routine admin script, cron job, or health-check."",
    ""Decide: the escalation mechanism and high syscall throughput outweigh XGBoost's benign call; this supports the CNN.""
  ],
  ""key_features"": [""events_per_second"", ""uid_is_root"", ""euid_root"", ""max_uid_euid_delta"", ""is_suid_exec""],
  ""agrees_with"": ""cnn""
}"
1039,4,0,benign,0,1,0.5382307767868042,0.9489884972572328,xgb_benign_cnn_malicious,MALICIOUS,1,0.95,cnn,ok,"[""Privilege state: root context with uid_is_root and euid_root set -- a genuine UID/EUID transition."", ""Mechanism: is_suid_exec is 0 and a shell was not spawned from a service context, but priv_op_count is 0 and exec_count is elevated -- a rare exec chain."", ""Behavioural anomaly: failed_call_rate is 0.875 and parent_child_rarity is 1 -- a high failed-syscall rate and a rare parent->child pair."", ""Benign-explanation test: very short lifetime (p84) and high throughput argue against a routine admin script, cron job, or health-check."", ""Decide: the privilege state and behavioural anomaly outweigh XGBoost's benign call; this supports the CNN.""]","[""uid_is_root"", ""euid_root"", ""max_uid_euid_delta"", ""is_suid_exec"", ""ephemeral_privileged""]","{
  ""verdict"": ""MALICIOUS"",
  ""confidence"": 0.95,
  ""rationale_steps"": [
    ""Privilege state: root context with uid_is_root and euid_root set -- a genuine UID/EUID transition."",
    ""Mechanism: is_suid_exec is 0 and a shell was not spawned from a service context, but priv_op_count is 0 and exec_count is elevated -- a rare exec chain."",
    ""Behavioural anomaly: failed_call_rate is 0.875 and parent_child_rarity is 1 -- a high failed-syscall rate and a rare parent->child pair."",
    ""Benign-explanation test: very short lifetime (p84) and high throughput argue against a routine admin script, cron job, or health-check."",
    ""Decide: the privilege state and behavioural anomaly outweigh XGBoost's benign call; this supports the CNN.""
  ],
  ""key_features"": [""uid_is_root"", ""euid_root"", ""max_uid_euid_delta"", ""is_suid_exec"", ""ephemeral_privileged""],
  ""agrees_with"": ""cnn""
}"
1438,3,1,T1078_Valid_Accounts,0,1,0.6923177242279053,0.9917534589767456,xgb_benign_cnn_malicious,MALICIOUS,1,0.99,cnn,ok,"[""Privilege state: root context with uid_is_root and euid_root set -- a genuine UID/EUID transition."", ""Mechanism: unique_syscalls at p99+ and exec_count elevated -- an unusual exec chain."", ""Behavioural anomaly: failed_call_rate at p46 and parent_child_rarity at p99+ -- a rare parent->child pair and a high rate of failed syscalls."", ""Benign-explanation test: very high throughput (5000 events/second) and a short lifetime (0.001 seconds) argue against a routine admin script, cron job, or health-check."", ""Decide: the privilege state, unusual exec chain, and behavioural anomalies outweigh XGBoost's benign call; this supports the CNN.""]","[""uid_is_root"", ""euid_root"", ""unique_syscalls"", ""exec_count"", ""failed_call_rate""]","{
  ""verdict"": ""MALICIOUS"",
  ""confidence"": 0.99,
  ""rationale_steps"": [
    ""Privilege state: root context with uid_is_root and euid_root set -- a genuine UID/EUID transition."",
    ""Mechanism: unique_syscalls at p99+ and exec_count elevated -- an unusual exec chain."",
    ""Behavioural anomaly: failed_call_rate at p46 and parent_child_rarity at p99+ -- a rare parent->child pair and a high rate of failed syscalls."",
    ""Benign-explanation test: very high throughput (5000 events/second) and a short lifetime (0.001 seconds) argue against a routine admin script, cron job, or health-check."",
    ""Decide: the privilege state, unusual exec chain, and behavioural anomalies outweigh XGBoost's benign call; this supports the CNN.""
  ],
  ""key_features"": [""uid_is_root"", ""euid_root"", ""unique_syscalls"", ""exec_count"", ""failed_call_rate""],
  ""agrees_with"": ""cnn""
}"
1837,4,0,benign,0,1,0.4626511931419372,0.7419862747192383,xgb_benign_cnn_malicious,MALICIOUS,1,0.83,cnn,ok,"[""Privilege state: root context with max_uid_euid_delta at p99+ and auid_euid_mismatch set -- a real identity inconsistency and privilege transition."", ""Mechanism: uid_is_root and euid_root are set, indicating a root context, but is_suid_exec is 0, which suggests no setuid/setgid execution."", ""Behavioural anomaly: high syscall throughput (events_per_second at p99+) and a high failed_call_rate (0.9091) indicate unusual system activity."", ""Benign-explanation test: the short lifetime (p84) and high syscall throughput argue against a routine admin script, cron job, or health-check."", ""Decide: the privilege state and behavioural anomalies outweigh XGBoost's benign call; this supports the CNN.""]","[""events_per_second"", ""auid_euid_mismatch"", ""max_uid_euid_delta"", ""uid_is_root"", ""euid_root""]","{
  ""verdict"": ""MALICIOUS"",
  ""confidence"": 0.83,
  ""rationale_steps"": [
    ""Privilege state: root context with max_uid_euid_delta at p99+ and auid_euid_mismatch set -- a real identity inconsistency and privilege transition."",
    ""Mechanism: uid_is_root and euid_root are set, indicating a root context, but is_suid_exec is 0, which suggests no setuid/setgid execution."",
    ""Behavioural anomaly: high syscall throughput (events_per_second at p99+) and a high failed_call_rate (0.9091) indicate unusual system activity."",
    ""Benign-explanation test: the short lifetime (p84) and high syscall throughput argue against a routine admin script, cron job, or health-check."",
    ""Decide: the privilege state and behavioural anomalies outweigh XGBoost's benign call; this supports the CNN.""
  ],
  ""key_features"": [""events_per_second"", ""auid_euid_mismatch"", ""max_uid_euid_delta"", ""uid_is_root"", ""euid_root""],
  ""agrees_with"": ""cnn""
}"
1880,4,0,benign,0,1,0.5382307767868042,0.9489884972572328,xgb_benign_cnn_malicious,MALICIOUS,1,0.95,cnn,ok,"[""Privilege state: root context with uid_is_root and euid_root set -- a genuine UID/EUID transition."", ""Mechanism: is_suid_exec is 0 and a shell was not spawned from a service context, but priv_op_count is 0 and exec_count is elevated -- a rare exec chain."", ""Behavioural anomaly: failed_call_rate is 0.875 and parent_child_rarity is 1 -- a high failed-syscall rate and a rare parent->child pair."", ""Benign-explanation test: very short lifetime (p84) and high throughput argue against a routine admin script, cron job, or health-check."", ""Decide: the privilege state and behavioural anomaly outweigh XGBoost's benign call; this supports the CNN.""]","[""uid_is_root"", ""euid_root"", ""max_uid_euid_delta"", ""is_suid_exec"", ""ephemeral_privileged""]","{
  ""verdict"": ""MALICIOUS"",
  ""confidence"": 0.95,
  ""rationale_steps"": [
    ""Privilege state: root context with uid_is_root and euid_root set -- a genuine UID/EUID transition."",
    ""Mechanism: is_suid_exec is 0 and a shell was not spawned from a service context, but priv_op_count is 0 and exec_count is elevated -- a rare exec chain."",
    ""Behavioural anomaly: failed_call_rate is 0.875 and parent_child_rarity is 1 -- a high failed-syscall rate and a rare parent->child pair."",
    ""Benign-explanation test: very short lifetime (p84) and high throughput argue against a routine admin script, cron job, or health-check."",
    ""Decide: the privilege state and behavioural anomaly outweigh XGBoost's benign call; this supports the CNN.""
  ],
  ""key_features"": [""uid_is_root"", ""euid_root"", ""max_uid_euid_delta"", ""is_suid_exec"", ""ephemeral_privileged""],
  ""agrees_with"": ""cnn""
}"
